"Time","Dow"
"20040513",10010.740
"20040512",10045.160
"20040511",10019.470
"20040510",9990.020
"20040507",10117.340
"20040506",10241.260
"20040505",10310.950
"20040504",10317.200
"20040503",10314.000
"20040430",10225.570
"20040429",10272.270
"20040428",10342.600
"20040427",10478.160
"20040426",10444.730
"20040423",10472.840
"20040422",10461.200
"20040421",10317.270
"20040420",10314.500
"20040419",10437.850
"20040416",10451.970
"20040415",10397.460
"20040414",10377.950
"20040413",10381.280
"20040412",10515.560
"20040408",10442.030
"20040407",10480.150
"20040406",10570.810
"20040405",10558.370
"20040402",10470.590
"20040401",10373.330
"20040331",10357.700
"20040330",10381.700
"20040329",10329.630
"20040326",10212.970
"20040325",10218.820
"20040324",10048.230
"20040323",10063.640
"20040322",10064.750
"20040319",10186.600
"20040318",10295.780
"20040317",10300.300
"20040316",10184.670
"20040315",10102.890
"20040312",10240.080
"20040311",10128.380
"20040310",10296.890
"20040309",10456.960
"20040308",10529.480
"20040305",10595.550
"20040304",10588.000
"20040303",10593.110
"20040302",10591.480
"20040301",10678.140
"20040227",10583.920
"20040226",10580.140
"20040225",10601.620
"20040224",10566.370
"20040223",10609.620
"20040220",10619.030
"20040219",10664.730
"20040218",10671.990
"20040217",10714.880
"20040213",10627.850
"20040212",10694.070
"20040211",10737.700
"20040210",10613.850
"20040209",10579.030
"20040206",10593.030
"20040205",10495.550
"20040204",10470.740
"20040203",10505.180
"20040202",10499.180
"20040130",10488.070
"20040129",10510.290
"20040128",10468.370
"20040127",10609.920
"20040126",10702.510
"20040123",10568.290
"20040122",10623.180
"20040121",10623.620
"20040120",10528.660
"20040116",10600.510
"20040115",10553.850
"20040114",10538.370
"20040113",10427.180
"20040112",10485.180
"20040109",10458.890
"20040108",10592.440
"20040107",10529.030
"20040106",10538.660
"20040105",10544.070
"20040102",10409.850
"20031231",10453.920
"20031230",10425.040
"20031229",10450.000
"20031226",10324.670
"20031224",10305.190
"20031223",10341.260
"20031222",10338.000
"20031219",10278.220
"20031218",10248.080
"20031217",10145.260
"20031216",10129.560
"20031215",10022.820
"20031212",10042.160
"20031211",10008.160
"20031210",9921.860
"20031209",9923.420
"20031208",9965.270
"20031205",9862.680
"20031204",9930.820
"20031203",9873.420
"20031202",9853.640
"20031201",9899.050
"20031128",9782.460
"20031126",9779.570
"20031125",9763.940
"20031124",9747.790
"20031121",9628.530
"20031120",9619.420
"20031119",9690.460
"20031118",9624.160
"20031117",9710.830
"20031114",9768.680
"20031113",9837.940
"20031112",9848.830
"20031111",9737.790
"20031110",9756.530
"20031107",9809.790
"20031106",9856.970
"20031105",9820.830
"20031104",9838.830
"20031103",9858.460
"20031031",9801.120
"20031030",9786.610
"20031029",9774.530
"20031028",9748.310
"20031027",9608.160
"20031024",9582.460
"20031023",9613.130
"20031022",9598.240
"20031021",9747.640
"20031020",9777.940
"20031017",9721.790
"20031016",9791.720
"20031015",9803.050
"20031014",9812.980
"20031013",9764.380
"20031010",9688.460
"20031009",9680.010
"20031008",9642.990
"20031007",9654.610
"20031006",9594.980
"20031003",9572.310
"20031002",9487.800
"20031001",9469.200
"20030930",9275.060
"20030929",9380.240
"20030926",9313.080
"20030925",9343.960
"20030924",9425.510
"20030923",9576.040
"20030922",9535.410
"20030919",9644.820
"20030918",9659.130
"20030917",9545.650
"20030916",9567.340
"20030915",9448.810
"20030912",9471.550
"20030911",9459.760
"20030910",9420.460
"20030909",9507.200
"20030908",9586.290
"20030905",9503.340
"20030904",9587.900
"20030903",9568.460
"20030902",9523.270
"20030829",9415.820
"20030828",9374.210
"20030827",9333.790
"20030826",9340.450
"20030825",9317.640
"20030822",9348.870
"20030821",9423.680
"20030820",9397.510
"20030819",9428.900
"20030818",9412.450
"20030815",9321.690
"20030814",9310.560
"20030813",9271.760
"20030812",9310.060
"20030811",9217.350
"20030808",9191.090
"20030807",9126.450
"20030806",9061.740
"20030805",9036.320
"20030804",9186.040
"20030801",9153.970
"20030731",9233.800
"20030730",9200.050
"20030729",9204.460
"20030728",9266.510
"20030725",9284.570
"20030724",9112.510
"20030723",9194.240
"20030722",9158.450
"20030721",9096.690
"20030718",9188.150
"20030716",9094.590
"20030715",9128.970
"20030714",9177.150
"20030711",9119.590
"20030710",9036.040
"20030709",9156.210
"20030708",9223.090
"20030707",9216.790
"20030703",9070.210
"20030702",9142.840
"20030701",9040.950
"20030630",8985.440
"20030627",8989.050
"20030626",9072.250
"20030625",9011.530
"20030624",9109.850
"20030623",9072.950
